Timestamp,AQI_PM2.5_24h,AQI_PM10_24h,AQI_Overall_24h
2024-07-13 21:00:00,28.0,6.0,28.0
2024-07-13 22:00:00,34.0,8.0,34.0
2024-07-13 23:00:00,170.0,97.0,170.0
2024-07-14 00:00:00,266.0,152.0,266.0
2024-07-14 01:00:00,183.0,88.0,183.0
2024-07-14 02:00:00,157.0,61.0,157.0
2024-07-14 03:00:00,93.0,30.0,93.0
2024-07-14 04:00:00,43.0,10.0,43.0
2024-07-14 05:00:00,21.0,5.0,21.0
2024-07-14 06:00:00,14.0,3.0,14.0
2024-07-14 07:00:00,12.0,3.0,12.0
2024-07-14 08:00:00,12.0,3.0,12.0
2024-07-14 09:00:00,12.0,3.0,12.0
2024-07-14 10:00:00,11.0,2.0,11.0
2024-07-14 11:00:00,13.0,3.0,13.0
2024-07-14 12:00:00,20.0,5.0,20.0
2024-07-14 13:00:00,177.0,88.0,177.0
2024-07-14 14:00:00,208.0,93.0,208.0
2024-07-14 15:00:00,152.0,53.0,152.0
2024-07-14 16:00:00,148.0,51.0,148.0
2024-07-14 17:00:00,92.0,29.0,92.0
2024-07-14 18:00:00,35.0,8.0,35.0
2024-07-14 19:00:00,31.0,7.0,31.0
2024-07-14 20:00:00,36.0,8.0,36.0
