Timestamp,Timestamp,AQI_PM2.5,AQI_PM10,Temperature (C),CO2 (ppm),Peak_Hour_AQI_PM2.5,Peak_Hour_AQI_PM10,Peak_Hour_Temperature,Peak_Hour_CO2
2024-07-03 20:00:00,2024-07-03 20:36:05.167101952,35.0,7.78,24.08,738.06,0,0,0,0
2024-07-03 21:00:00,2024-07-03 21:25:21.750000128,31.34,6.96,24.0,895.1,0,0,0,0
2024-07-04 13:00:00,2024-07-04 13:41:48.446043136,21.46,4.78,24.99,1027.87,0,0,1,0
2024-07-04 15:00:00,2024-07-04 15:09:16.689320192,57.79,14.35,23.11,841.45,0,0,0,0
2024-07-05 11:00:00,2024-07-05 11:41:05.435897344,7.09,1.66,21.0,2364.1,0,0,0,1
2024-07-05 12:00:00,2024-07-05 12:29:58.604026880,8.51,2.08,21.17,1600.52,0,0,0,0
2024-07-05 13:00:00,2024-07-05 13:26:31.959028992,10.46,2.62,21.36,686.71,0,0,0,0
2024-07-05 14:00:00,2024-07-05 14:45:55.357348864,66.32,25.05,22.2,722.32,0,0,0,0
2024-07-05 15:00:00,2024-07-05 15:29:57.889932800,130.77,52.33,23.29,882.66,1,1,0,0
2024-07-05 16:00:00,2024-07-05 16:15:43.856777216,12.88,2.98,22.16,444.86,0,0,0,0
