Timestamp,AQI_PM2.5,AQI_PM10,Temperature (C),CO2 (ppm),Peak_Hour_AQI_PM2.5,Peak_Hour_AQI_PM10,Peak_Hour_Temperature,Peak_Hour_CO2
2024-07-05 11:00:00,7.09,1.66,21.0,2364.1,0,0,0,1
2024-07-05 12:00:00,8.51,2.08,21.17,1600.52,0,0,0,0
2024-07-05 13:00:00,10.46,2.62,21.36,686.71,0,0,0,0
2024-07-05 14:00:00,66.32,25.05,22.2,722.32,0,0,0,0
2024-07-05 15:00:00,130.77,52.33,23.29,882.66,0,0,0,0
2024-07-05 16:00:00,12.88,2.98,22.16,444.86,0,0,0,0
2024-07-05 17:00:00,13.82,3.19,22.21,454.44,0,0,0,0
2024-07-05 18:00:00,14.76,3.4,22.26,464.02,0,0,0,0
2024-07-05 19:00:00,15.71,3.61,22.31,473.6,0,0,0,0
2024-07-05 20:00:00,16.65,3.82,22.36,483.17,0,0,0,0
2024-07-05 21:00:00,17.59,4.02,22.42,492.75,0,0,0,0
2024-07-05 22:00:00,18.54,4.23,22.47,502.33,0,0,0,0
2024-07-05 23:00:00,19.48,4.44,22.52,511.91,0,0,0,0
2024-07-06 00:00:00,20.42,4.65,22.57,521.49,0,0,0,0
2024-07-06 01:00:00,21.36,4.86,22.62,531.07,0,0,0,0
2024-07-06 02:00:00,22.3,5.07,22.67,540.65,0,0,0,0
2024-07-06 03:00:00,23.25,5.28,22.72,550.22,0,0,0,0
2024-07-06 04:00:00,24.19,5.49,22.77,559.8,0,0,0,0
2024-07-06 05:00:00,25.13,5.7,22.82,569.38,0,0,0,0
2024-07-06 06:00:00,26.08,5.9,22.88,578.96,0,0,0,0
2024-07-06 07:00:00,27.02,6.11,22.93,588.54,0,0,0,0
2024-07-06 08:00:00,27.96,6.32,22.98,598.12,0,0,0,0
2024-07-06 09:00:00,28.9,6.53,23.03,607.7,0,0,0,0
2024-07-06 10:00:00,29.85,6.74,23.08,617.28,0,0,0,0
2024-07-06 11:00:00,30.79,6.95,23.13,626.85,0,0,0,0
2024-07-06 12:00:00,31.73,7.16,23.18,636.43,0,0,0,0
2024-07-06 13:00:00,32.67,7.37,23.23,646.01,0,0,0,0
2024-07-06 14:00:00,33.62,7.58,23.28,655.59,0,0,0,0
2024-07-06 15:00:00,34.56,7.78,23.34,665.17,0,0,0,0
2024-07-06 16:00:00,35.5,7.99,23.39,674.75,0,0,0,0
2024-07-06 17:00:00,36.44,8.2,23.44,684.33,0,0,0,0
2024-07-06 18:00:00,37.38,8.41,23.49,693.9,0,0,0,0
2024-07-06 19:00:00,38.33,8.62,23.54,703.48,0,0,0,0
2024-07-06 20:00:00,39.27,8.83,23.59,713.06,0,0,0,0
2024-07-06 21:00:00,40.21,9.04,23.64,722.64,0,0,0,0
2024-07-06 22:00:00,41.16,9.25,23.69,732.22,0,0,0,0
2024-07-06 23:00:00,42.1,9.46,23.74,741.8,0,0,0,0
2024-07-07 00:00:00,43.04,9.66,23.8,751.38,0,0,0,0
2024-07-07 01:00:00,43.98,9.87,23.85,760.95,0,0,0,0
2024-07-07 02:00:00,44.92,10.08,23.9,770.53,0,0,0,0
2024-07-07 03:00:00,45.87,10.29,23.95,780.11,0,0,0,0
2024-07-07 04:00:00,46.81,10.5,24.0,789.69,0,0,0,0
2024-07-07 05:00:00,22.06,4.9,23.04,749.77,0,0,0,0
2024-07-07 06:00:00,13.17,2.93,23.06,932.25,0,0,0,0
2024-07-07 07:00:00,9.59,2.13,23.0,1189.07,0,0,0,0
2024-07-07 08:00:00,8.16,1.81,23.0,1361.35,0,0,0,0
2024-07-07 09:00:00,6.76,1.5,23.0,1506.44,0,0,0,0
2024-07-07 10:00:00,5.97,1.33,23.0,1620.71,0,0,0,0
2024-07-07 11:00:00,5.36,1.19,23.0,1708.63,0,0,0,0
2024-07-07 12:00:00,7.54,1.68,23.0,1792.85,0,0,0,0
2024-07-07 13:00:00,11.8,2.64,23.0,1814.64,0,0,0,0
2024-07-07 14:00:00,14.8,3.3,23.27,1824.58,0,0,0,0
2024-07-07 15:00:00,17.79,3.96,23.54,1834.52,0,0,0,0
2024-07-07 16:00:00,20.78,4.63,23.82,1844.47,0,0,0,0
2024-07-07 17:00:00,23.78,5.29,24.09,1854.41,0,0,0,0
2024-07-07 18:00:00,24.97,5.55,24.27,1797.71,0,0,0,0
2024-07-07 19:00:00,26.16,5.82,24.45,1741.01,0,0,0,0
2024-07-07 20:00:00,27.36,6.08,24.64,1684.3,0,0,0,0
2024-07-07 21:00:00,28.55,6.35,24.82,1627.6,0,0,0,0
2024-07-07 22:00:00,29.74,6.61,25.0,1570.9,0,0,0,0
2024-07-07 23:00:00,29.83,6.63,25.0,1562.79,0,0,0,0
2024-07-08 00:00:00,30.11,6.69,25.0,1790.36,0,0,0,0
2024-07-08 01:00:00,24.28,5.4,24.99,1480.53,0,0,0,0
2024-07-08 02:00:00,20.37,4.53,24.96,1301.37,0,0,0,0
2024-07-08 03:00:00,13.1,2.91,24.17,1326.99,0,0,0,0
2024-07-08 04:00:00,10.75,2.39,24.13,1259.95,0,0,0,0
2024-07-08 05:00:00,10.88,2.42,24.14,1209.25,0,0,0,0
